,time,tweets
118,19:19:03,"['Farry, Fitzpatrick recognized for animal rights advocacy - Bucks County Courier Times https:\\/\\/t.co\\/1Ajty8TAqW https:\\/\\/t.co\\/bsIQeBG7ry\n']"
119,19:19:05,[]
120,19:19:06,[]
121,20:37:58,[]
122,20:37:57,[]
123,16:49:56,['Spurs getting swept.\\nTrailblazers getting swept.\\nBucks getting swept.\\nWizards getting swept.\n']
124,16:52:40,[]
125,16:52:41,[]
126,16:52:47,[]
127,16:52:44,[]
128,16:52:45,[]
129,16:52:48,[]
130,16:21:57,"[""Friendly Reminder: Bucks are 32-0 when I shoot off the bow and arrow. \\n \\n\\nSkip to 1:01 if you want to see what it looks like. Be prepared. If you're in the building tonight or watching on ESPN and see me shoot at anytime. Just know..WE WON!!!! https:\\/\\/t.co\\/GrsgPvUxJk\n""]"
131,18:42:46,[]
132,16:21:54,[]
133,16:21:50,[]
134,18:44:02,[]
135,18:44:00,[]
136,21:19:36,[]
137,16:33:16,[]
138,16:33:17,[]
139,16:33:12,[]
140,17:45:56,[]
141,20:08:46,[]
142,20:08:44,[]
143,20:08:45,[]
144,20:08:42,[]
145,20:08:43,[]
146,20:08:49,[]
147,19:40:49,[]
148,19:40:46,['BSB- T3- The Bucks trail Walters State 3-0.\n']
149,19:40:47,"[""My game picks: Pacers, Wizards, and Bucks. If I'm wrong, oh well. It's not the end of the world.\n""]"
150,19:40:44,['[Programme du soir] Les Wizards et les Bucks peuvent-ils rebondir \\u00e0 domicile ? https:\\/\\/t.co\\/vhrEpBvmf3\n']
151,19:40:45,['I liked a video https:\\/\\/t.co\\/0gUzpR9uZm Fortnite Gameplay - Free V Bucks\n']
152,19:40:43,[]
153,19:40:41,[]
154,16:11:47,[]
155,16:11:45,[]
156,16:11:44,"['WIN V BUCKS GIVEAWAY: 10000+3500 V-Bucks OR $100 GIFTCARD OF YOUR CHOICE (1 Winner) giveaway\\n\\n1. Follow \\n2. Retweet and Like this Tweet\\n3. Tag your friends\\n\\n\\u25ba Click here for the link to win: https:\\/\\/t.co\\/E4h1lihuLh https:\\/\\/t.co\\/vuXH8JOVhL\n', 'Enter to win 100,000 V-Bucks, a Year Supply of , a &amp; more! https:\\/\\/t.co\\/kYBjhZ1xTH\n']"
157,16:11:43,['Who y\\u2019all beating ??? The raiders ? Bucks ? Bears ? Let a brother know cause the rest of yalls season is all L\\u2019s\\ud83d\\udcaf\n']
158,16:11:42,[]
159,16:11:40,"['Enter to win 100,000 V-Bucks, a Year Supply of , a &amp; more! https:\\/\\/t.co\\/FaX9RpUEnN\n']"
160,18:26:56,[]
161,16:37:29,[]
162,17:32:08,[]
163,18:55:07,[]
164,16:37:21,[]
