,time,tweets
89,19:25:40,[]
90,18:54:11,[]
91,19:25:46,[]
92,18:54:13,[]
93,18:54:12,"[': We at Marginless are not so sure about Warriors, considering that Kawhi Leonard is back! https:\\/\\/t.co\\/71om4B9zna\n']"
94,15:42:57,[]
95,16:29:12,[]
96,15:42:55,[]
97,16:29:10,[]
98,16:29:17,[]
99,16:29:16,[]
100,19:27:41,[]
101,19:27:40,[]
102,16:16:22,['Durant leads Warriors to 3-0 lead over mourning\\u00a0Spurs https:\\/\\/t.co\\/KEoDY4C1HE https:\\/\\/t.co\\/J2io72NR9L\n']
103,16:16:23,[]
104,19:27:45,[]
105,04:22:02,[]
106,16:16:27,[]
107,19:00:57,['Craft Warriors\\u3092\\u306f\\u3058\\u3081\\u307e\\u3057\\u305f\\uff01 https:\\/\\/t.co\\/QLyGnNty3J https:\\/\\/t.co\\/piEFPj7Vwn\n']
108,15:46:58,[]
109,15:46:53,[]
110,15:46:52,['\\ud83d\\udd37 \\u062a\\u0639\\u0644\\u0646 \\u0625\\u062f\\u0627\\u0631\\u0629 \\u0642\\u0631\\u0648\\u0628 The Warriors of FIFA \\u0639\\u0646 \\u0628\\u0637\\u0648\\u0644\\u0629_\\u0627\\u0644\\u0645\\u062d\\u0627\\u0631\\u0628\\u064a\\u0646\\ud83c\\udfae \\u0631\\u0642\\u0645 23 \\u0628\\u062c\\u0648\\u0627\\u0626\\u0632 \\u0631\\u0627\\u0626\\u0639\\u0629 \\u0648\\u0645\\u0645\\u064a\\u0632\\u0629 \\u062c\\u062f\\u0627\\u064b\\ud83c\\udf81.\\n.\\n.\\n\\u25aa \\u0636\\u064a\\u0641 \\u0627\\u0644\\u0628\\u0637\\u0648\\u0644\\u0629 : \\u0627\\u062d\\u0645\\u062f \\u0627\\u0644\\u062d\\u0631\\u0628\\u064a\\n \\u0628\\u0637\\u0644 \\u0643\\u0623\\u0633 \\u0647\\u064a\\u0626\\u0629 \\u0627\\u0644\\u0631\\u064a\\u0627\\u0636\\u0629\\ud83c\\udfc6\\u2665 \\n.\\n.\\n\\u0634\\u0631\\u0648\\u0637 \\u0627\\u0644\\u0645\\u0634\\u0627\\u0631\\u0643\\u0629 :\\n\\u0641\\u0648\\u0644\\u0648 \\ud83d\\udc64\\n\\u0631\\u062a\\u0648\\u064a\\u062a \\ud83d\\udd01\\n\\ud83d\\udd38\\u0633\\u0648\\u0641 \\u064a\\u062a\\u0645 \\u0627\\u062e\\u062a\\u064a\\u0627\\u0631 \\u0627\\u0644\\u0645\\u0634\\u0627\\u0631\\u0643\\u064a\\u0646\\n \\u0645\\u0646 \\u0627\\u0644\\u0631\\u062a\\u0648\\u064a\\u062a \\u0628\\u0639\\u062f \\u0627\\u0633\\u0628\\u0648\\u0639 \\u2705\\n. \\u0628\\u0627\\u0644\\u062a\\u0648\\u0641\\u064a\\u0642 \\u0644\\u0643\\u0645 \\ud83d\\udc4f\\u2665 \\u0641\\u064a\\u0641\\u0627\\u0661\\u0668 https:\\/\\/t.co\\/EZsAfMzCSg\n']
111,15:46:57,[]
112,15:46:56,"["": Spurs couldn't hang with Warriors, defend them, or throw the ball in the ocean https:\\/\\/t.co\\/Zdgw0BUoCL\n""]"
113,19:19:08,[]
114,19:19:09,[]
115,20:40:17,[]
116,20:40:19,[]
117,19:19:02,[]
118,19:19:03,[]
119,19:19:05,[]
120,19:19:06,[]
121,20:37:58,[]
122,20:37:57,[]
123,16:49:56,[]
124,16:52:40,[]
125,16:52:41,"['battles back from down 0-3 to force a 7th game but the Warriors come up just short, falling to William Paterson in round 4 of the USBC Team Championships.\n']"
126,16:52:47,[]
127,16:52:44,[]
128,16:52:45,[]
129,16:52:48,[]
130,16:21:57,[]
131,18:42:46,[]
132,16:21:54,['And Game 2 of the SAA Conference Tournament against BSC has begun! Warriors tied 0-0 going into top of 2.\n']
133,16:21:50,[]
134,18:44:02,"['A few Warriors fans reacting to Escar\\u00e9 and Hamlin being dropped yet again. Shame, as whenever they played they looked on form.\n']"
135,18:44:00,[]
136,21:19:36,[]
137,16:33:16,[]
138,16:33:17,[]
139,16:33:12,[]
140,17:45:56,[]
141,20:08:46,[]
142,20:08:44,[]
143,20:08:45,['Warriors in 5. Portland exposed\n']
144,20:08:42,[]
145,20:08:43,[': Warriors move to 4-0 with a win over Pella Christian 2-1. Goals by Roberts(2) Assists from Bellizzi and Gavin.\n']
146,20:08:49,[]
147,19:40:49,[]
148,19:40:46,['Steph Curry will return to practice for the Warriors on Saturday https:\\/\\/t.co\\/z4fNWmYAO6 https:\\/\\/t.co\\/3MIra23sTc\n']
149,19:40:47,"['Kevin Durant and the Warriors went up 3-0 last night, can they bring out the brooms? https:\\/\\/t.co\\/zdtsVFi5Nu\n']"
150,19:40:44,[]
151,19:40:45,[]
152,19:40:43,[]
153,19:40:41,[]
154,16:11:47,[]
155,16:11:45,[]
156,16:11:44,[]
157,16:11:43,[]
158,16:11:42,[]
159,16:11:40,[]
160,18:26:56,[]
161,16:37:29,[]
162,17:32:08,['San Antonio (47-37) Face a Must-Win Situation as They Prepare for Game 3 Against the Golden State Warriors (60-24) Game Tip off at 9:30p ET on TNT - https:\\/\\/t.co\\/HfFT0LrmnX https:\\/\\/t.co\\/ebsenblo52\n']
163,18:55:07,[]
164,16:37:21,"[""\\u00c0 l'avenir et avec ou sans Cousins, les Pelicans vont \\u00eatre l'\\u00e9quipe la plus compliqu\\u00e9e \\u00e0 jouer pour les Warriors.\n""]"
165,16:14:12,[]
166,17:32:03,[]
167,17:32:02,[]
168,17:32:05,[]
169,16:13:40,[]
170,17:32:07,[]
171,17:32:06,['Warriors finna sweep them too\n']
172,19:38:26,[]
173,16:57:39,['Sick of seeing the Warriors win the finals\n']
174,21:13:08,['Warriors defeat Dragons in thriller to continue incredible season https:\\/\\/t.co\\/26sCpgVSCd\n']
175,21:13:07,[]
176,21:13:06,[]
177,21:13:05,[]
178,16:57:34,[]
179,16:57:35,[]
180,21:13:01,[]
181,18:46:00,[': Warriors clicking again as they near sweep of Spurs https:\\/\\/t.co\\/wdZr7F5fUQ &lt;&lt; Info Here https:\\/\\/t.co\\/qhqMGUeCSQ\n']
182,17:38:09,[]
183,17:38:08,[]
184,18:46:05,[]
185,18:46:07,[]
186,17:38:03,['Happy Friday Warriors! May your weekend be full of good vibes \\u270c https:\\/\\/t.co\\/q7BmrLBFd6\n']
187,18:46:08,[]
188,17:38:00,[]
189,17:38:07,[]
190,17:38:06,[]
191,17:38:05,"['-\\""Teach us the road to travel, and we will not depart from it forever\\"".\\nSetangya (1800-1871). Kiowa and he became part of the\\u00a0Koitsenko, the Society of the Bravest Kiowa Warriors. https:\\/\\/t.co\\/tLwItIRzZf\n']"
192,17:38:04,[]
193,17:48:53,[]
194,17:48:59,[]
195,21:11:04,[]
196,21:11:07,[]
197,16:43:07,"['Ketchum Hoops , who led the ranked Warriors with 15.1 pts and 3.7 assists on the season, will be running with the 17Us this weekend at the . https:\\/\\/t.co\\/X0lL3k3YqY\n']"
198,21:11:08,[]
199,16:00:35,[]
200,16:00:36,['NBA Countdown: Paul George after loss to Warriors \\u2018Shooting the ball feels\\u00a0funny\\u2019 https:\\/\\/t.co\\/LhhBLEaJtn https:\\/\\/t.co\\/xnPqhRUuO7\n']
201,16:00:37,"['\\""Scousers support their own.\\""\\n\\nHear what had to say about and Cage Warriors fans at the this year. \\ud83d\\udc4c 2018 is the biggest year of MMA in Liverpool\'s history! https:\\/\\/t.co\\/WNrjGgQFyZ\n']"
202,16:00:30,"['So here they are, Team Kidney Care UK!! Our team of intrepid Kidney Warriors taking on the this Sunday \\u2764\\ufe0f Thank you all so much, you are all incredible https:\\/\\/t.co\\/oBKdziBDWT\n']"
203,16:43:02,"[""\\u2600\\ufe0f Good morning Arkansas and Warriors! \\u2600\\ufe0f\\nRegister today (it's the last day to do so)\\nTo vote in your primary election for \\n\\ud83c\\udf0a Your vote is your voice\\ud83c\\udf0a https:\\/\\/t.co\\/j1rBsTYXWi\n""]"
204,16:00:32,[]
205,16:00:33,[]
206,16:00:38,[]
207,16:00:39,[]
208,20:02:40,['Durant acerca a Warriors a la\\u00a0barrida https:\\/\\/t.co\\/SvFZSkXdHH\n']
209,20:02:46,[]
210,20:02:49,[]
211,19:41:38,[]
212,19:56:35,['ICYMI: Can Royal and EDG keep up with Invictus and Rogue Warriors in the LPL semifinals?: https:\\/\\/t.co\\/oEWgWIIawu\\u00a0\\u2026https:\\/\\/t.co\\/AZpZzgPYWX https:\\/\\/t.co\\/f7aIWC8zcH https:\\/\\/t.co\\/M48LjhzLDr\n']
213,16:43:08,[]
214,17:19:33,[]
215,17:19:30,[]
216,16:22:56,['Have you heard \\u2018True Warriors ft. Jimi Gunnz(prod. by mixla)\\u2019 by AirKing of Eternally Undead\\u00a9 on ? https:\\/\\/t.co\\/yitIP3g3F3\n']
217,20:03:23,[]
218,20:03:22,[]
219,16:22:52,[]
220,20:03:27,[]
221,16:22:51,['Varsity Warriors in action on Friday:\\n\\nGirls tennis vs. Omaha Duchesne Academy at 4:00 p.m. at HOME!\\n\\nBoys soccer vs. Elkhorn South at 5:00 p.m. at HOME!\\n\\nVarsity baseball at the Monarch Invite at Fricke Field in Papillion at 6:00 p.m.\n']
222,20:03:28,['Breaking News!! \\nSteph Curry will return to Practice for the Warriors on Saturday.\\nhttps:\\/\\/t.co\\/Y9DTvQeCQ0\n']
223,19:45:16,[]
224,19:45:17,[]
225,19:45:14,[]
226,16:22:59,"['Can you recommend anyone for this ? Warriors to Work Manager - Chicago, IL - https:\\/\\/t.co\\/g5QxWLFrQN , IL\n']"
227,21:10:38,[]
228,21:10:30,[]
229,21:10:35,[]
230,21:10:34,['Storm beat Broncos in a classic after Warriors douse the Dragons https:\\/\\/t.co\\/1iyEKOqQJg via\n']
231,16:28:59,[]
232,18:13:12,[]
233,18:13:13,[]
234,18:13:14,[]
235,18:13:15,"['Warriors representing at Team Ontario this weekend! Good luck to Matt, Conner, Julian and Caleb! https:\\/\\/t.co\\/PHxeyt5Uhm\n']"
236,18:18:48,[]
237,18:18:49,[]
238,18:13:19,[]
239,18:18:45,[]
240,16:28:54,[]
241,18:18:43,[]
242,18:18:40,[]
243,16:28:57,[]
244,20:33:43,"['When you wake up on the couch in full Warriors kit, with your season ticket still hanging around your neck, and realise you recorded the game https:\\/\\/t.co\\/PvwaJ3JbgW\n', 'Mi barrio , mi Warriors , mi banda de atorrantes\n']"
245,19:56:39,"[""Warriors' Stephen Curry progressing, will begin modified practices Saturday https:\\/\\/t.co\\/j2LcJPXWjb https:\\/\\/t.co\\/o1Rya0qkij\n""]"
246,18:11:16,[]
247,17:49:55,[]
248,18:11:14,[]
249,18:11:12,"['You crazy. The more young talent we have the better. Look at the Warriors. Never traded their young core, they just added to it. Thats how you\\u2019re supposed to build a dynasty https:\\/\\/t.co\\/TzG46Tz2LB\n']"
