,NAME,PERSON_ID,Team_Name
134,Goran Dragic,201609,Heat
135,Larry Drew II,203580,76ers
136,Andre Drummond,203083,Pistons
137,Jared Dudley,201162,Suns
138,Kris Dunn,1627739,Bulls
139,Kevin Durant,201142,Warriors
140,Jarell Eddie,204067,Bulls
141,Henry Ellenson,1627740,Pistons
142,Wayne Ellington,201961,Heat
143,Joel Embiid,203954,76ers
144,Tyler Ennis,203898,Lakers
145,James Ennis III,203516,Pistons
146,Jawun Evans,1628393,Clippers
147,Tyreke Evans,201936,Grizzlies
148,Kenneth Faried,202702,Nuggets
149,Derrick Favors,202324,Jazz
150,Kay Felder,1627770,Pistons
151,Cristiano Felicio,1626245,Bulls
152,Raymond Felton,101109,Thunder
153,Terrance Ferguson,1628390,Thunder
154,Yogi Ferrell,1627812,Mavericks
155,Dorian Finney-Smith,1627827,Mavericks
156,Bryn Forbes,1627854,Spurs
157,Evan Fournier,203095,Magic
158,De'Aaron Fox,1628368,Kings
159,Tim Frazier,204025,Wizards
160,Channing Frye,101112,Lakers
161,Markelle Fultz,1628365,76ers
162,Danilo Gallinari,201568,Clippers
163,Langston Galloway,204038,Pistons
164,Marc Gasol,201188,Grizzlies
165,Pau Gasol,2200,Spurs
166,Rudy Gay,200752,Spurs
167,Paul George,202331,Thunder
168,Marcus Georges-Hunt,1627875,Timberwolves
169,Taj Gibson,201959,Timberwolves
170,Manu Ginobili,1938,Spurs
171,Rudy Gobert,203497,Jazz
172,Aaron Gordon,203932,Magic
173,Eric Gordon,201569,Rockets
174,Marcin Gortat,101162,Wizards
175,Treveon Graham,1626203,Hornets
176,Jerami Grant,203924,Thunder
177,Jerian Grant,1626170,Bulls
178,Josh Gray,1627982,
179,Danny Green,201980,Spurs
180,Draymond Green,203110,Warriors
181,Gerald Green,101123,Rockets
182,JaMychal Green,203210,Grizzlies
183,Jeff Green,201145,Cavaliers
184,Blake Griffin,201933,Pistons
185,Daniel Hamilton,1627772,Thunder
186,Tim Hardaway Jr.,203501,Knicks
187,James Harden,201935,Rockets
188,Maurice Harkless,203090,Trail Blazers
189,Montrezl Harrell,1626149,Clippers
190,Devin Harris,2734,Nuggets
191,Gary Harris,203914,Nuggets
192,Joe Harris,203925,Nets
193,Tobias Harris,202699,Clippers
194,Andrew Harrison,1626150,Grizzlies
195,Shaquille Harrison,1627885,Suns
196,Josh Hart,1628404,Lakers
197,Udonis Haslem,2617,Heat
198,Nigel Hayes,1628502,Raptors
199,Gordon Hayward,202330,Celtics
200,Reggie Hearn,203687,Pistons
201,Myke Henry,1627988,Grizzlies
202,John Henson,203089,Bucks
203,Juancho Hernangomez,1627823,Nuggets
204,Willy Hernangomez,1626195,Hornets
205,Mario Hezonja,1626209,Magic
206,Isaiah Hicks,1628439,Knicks
207,Buddy Hield,1627741,Kings
208,Nene,2403,Rockets
209,George Hill,201588,Cavaliers
210,Darrun Hilliard,1626199,Spurs
211,Jrue Holiday,201950,Pelicans
212,Justin Holiday,203200,Bulls
213,John Holland,204066,Cavaliers
214,Rondae Hollis-Jefferson,1626178,Nets
215,Richaun Holmes,1626158,76ers
216,Rodney Hood,203918,Cavaliers
217,Scotty Hopson,203816,
218,Al Horford,201143,Celtics
219,Danuel House,1627863,Suns
220,Dwight Howard,2730,Hornets
221,Josh Huestis,203962,Thunder
222,RJ Hunter,1626154,Rockets
223,Vincent Hunter,1626205,
224,Serge Ibaka,201586,Raptors
225,Andre Iguodala,2738,Warriors
226,Ersan Ilyasova,101141,76ers
227,Joe Ingles,204060,Jazz
228,Brandon Ingram,1627742,Lakers
229,Kyrie Irving,202681,Celtics
230,Jonathan Isaac,1628371,Magic
231,Wes Iwundu,1628411,Magic
232,Jarrett Jack,101127,Knicks
233,Demetrius Jackson,1627743,76ers
234,Josh Jackson,1628367,Suns
235,Justin Jackson,1628382,Kings
236,Reggie Jackson,202704,Pistons
237,LeBron James,2544,Cavaliers
238,Mike James,1628455,
239,Al Jefferson,2744,Pacers
240,Richard Jefferson,2210,Nuggets
241,Jonas Jerebko,201973,Jazz
242,Amir Johnson,101161,76ers
243,Brice Johnson,1627744,Grizzlies
244,Dakari Johnson,1626177,Thunder
245,James Johnson,201949,Heat
246,Joe Johnson,2207,Rockets
247,Stanley Johnson,1626169,Pistons
248,Tyler Johnson,204020,Heat
249,Wesley Johnson,202325,Clippers
250,Nikola Jokic,203999,Nuggets
251,Damian Jones,1627745,Warriors
252,Jalen Jones,1627883,Mavericks
253,Tyus Jones,1626145,Timberwolves
254,Derrick Jones Jr.,1627884,Heat
255,DeAndre Jordan,201599,Clippers
256,Cory Joseph,202709,Pacers
257,Frank Kaminsky,1626163,Hornets
258,Enes Kanter,202683,Knicks
259,Luke Kennard,1628379,Pistons
260,Michael Kidd-Gilchrist,203077,Hornets
261,Sean Kilpatrick,203930,Bulls
262,Maxi Kleber,1628467,Mavericks
263,Furkan Korkmaz,1627788,76ers
264,Luke Kornet,1628436,Knicks
265,Kyle Korver,2594,Cavaliers
266,Kosta Koufos,201585,Kings
267,Kyle Kuzma,1628398,Lakers
268,Mindaugas Kuzminskas,1627851,
269,Zach LaVine,203897,Bulls
270,Skal Labissiere,1627746,Kings
271,Jeremy Lamb,203087,Hornets
272,Shane Larkin,203499,Celtics
273,Joffrey Lauvergne,203530,Spurs
274,Jake Layman,1627774,Trail Blazers
275,Caris LeVert,1627747,Nets
276,TJ Leaf,1628388,Pacers
277,Courtney Lee,201584,Knicks
278,Walter Lemon Jr.,1627215,
279,Alex Len,203458,Suns
280,Kawhi Leonard,202695,Spurs
281,Meyers Leonard,203086,Trail Blazers
282,Jon Leuer,202720,Pistons
283,DeAndre Liggins,202732,Pelicans
284,Damian Lillard,203081,Trail Blazers
285,Jeremy Lin,202391,Nets
286,Shaun Livingston,2733,Warriors
287,Kevon Looney,1626172,Warriors
288,Brook Lopez,201572,Lakers
289,Robin Lopez,201577,Bulls
290,Kevin Love,201567,Cavaliers
291,Kyle Lowry,200768,Raptors
292,Timothe Luwawu-Cabarrot,1627789,76ers
293,Tyler Lydon,1628399,Nuggets
294,Trey Lyles,1626168,Nuggets
295,Shelvin Mack,202714,Magic
296,Josh Magette,203705,Hawks
297,Ian Mahinmi,101133,Wizards
298,Thon Maker,1627748,Bucks
299,Boban Marjanovic,1626246,Clippers
300,Lauri Markkanen,1628374,Bulls
301,Jarell Martin,1626185,Grizzlies
302,Frank Mason,1628412,Kings
303,Mangok Mathiang,1628493,Hornets
304,Wesley Matthews,202083,Mavericks
305,Luc Mbah a Moute,201601,Rockets
306,James Michael McAdoo,203949,
307,Patrick McCaw,1627775,Warriors
308,CJ McCollum,203468,Trail Blazers
309,T.J. McConnell,204456,76ers
310,Erik McCree,1628571,Jazz
311,Chris McCullough,1626191,Wizards
312,Doug McDermott,203926,Mavericks
313,JaVale McGee,201580,Warriors
314,Rodney McGruder,203585,Heat
315,Trey McKinney-Jones,203590,
316,Alfonzo McKinnie,1628035,Raptors
317,Ben McLemore,203463,Grizzlies
318,Josh McRoberts,201177,
319,Jodie Meeks,201975,Wizards
320,Salah Mejri,1626257,Mavericks
321,Jordan Mickey,1626175,Heat
322,Khris Middleton,203114,Bucks
323,CJ Miles,101139,Raptors
324,Darius Miller,203121,Pelicans
325,Malcolm Miller,1626259,Raptors
326,Patty Mills,201988,Spurs
327,Paul Millsap,200794,Nuggets
328,Nikola Mirotic,202703,Pelicans
329,Donovan Mitchell,1628378,Jazz
330,Naz Mitrou-Long,1628513,
331,Malik Monk,1628370,Hornets
332,Greg Monroe,202328,Celtics
333,Luis Montero,1626242,
334,Ben Moore,1628500,Pacers
335,E'Twaun Moore,202734,Pelicans
336,Eric Moreland,203961,Pistons
337,Jaylen Morris,1628537,Hawks
338,Marcus Morris,202694,Celtics
339,Markieff Morris,202693,Wizards
340,Monte Morris,1628420,Nuggets
341,Johnathan Motley,1628405,Mavericks
342,Timofey Mozgov,202389,Nets
343,Emmanuel Mudiay,1626144,Knicks
344,Shabazz Muhammad,203498,Bucks
345,Xavier Munford,204098,Bucks
346,Dejounte Murray,1627749,Spurs
347,Jamal Murray,1627750,Nuggets
348,Mike Muscala,203488,Hawks
349,Abdel Nader,1627846,Celtics
350,Larry Nance Jr.,1626204,Cavaliers
351,Shabazz Napier,203894,Trail Blazers
352,Jameer Nelson,2749,Pistons
353,Raul Neto,203526,Jazz
354,Georges Niang,1627777,Jazz
355,Joakim Noah,201149,Knicks
356,Nerlens Noel,203457,Mavericks
357,Lucas Nogueira,203512,Raptors
358,Dirk Nowitzki,1717,Mavericks
359,Frank Ntilikina,1628373,Knicks
360,Jusuf Nurkic,203994,Trail Blazers
361,David Nwaba,1628021,Bulls
362,Johnny O'Bryant III,203948,
363,Royce O'Neale,1626220,Jazz
364,Kyle O'Quinn,203124,Knicks
365,Semi Ojeleye,1628400,Celtics
366,Emeka Okafor,2731,Pelicans
367,Jahlil Okafor,1626143,Nets
368,Victor Oladipo,203506,Pacers
369,Kelly Olynyk,203482,Heat
370,Cedi Osman,1626224,Cavaliers
371,Kelly Oubre Jr.,1626162,Wizards
372,Zaza Pachulia,2585,Warriors
373,Marcus Paige,1627779,Hornets
374,Georgios Papagiannis,1627834,Trail Blazers
375,Jabari Parker,203953,Bucks
376,Tony Parker,2225,Spurs
377,Chandler Parsons,202718,Grizzlies
378,Patrick Patterson,202335,Thunder
379,Brandon Paul,203464,Spurs
380,Chris Paul,101108,Rockets
381,Adreian Payne,203940,
382,Cameron Payne,1626166,Bulls
383,Elfrid Payton,203901,Suns
384,Gary Payton II,1627780,Lakers
385,London Perrantes,1628506,Cavaliers
386,Alec Peters,1628409,Suns
387,Marshall Plumlee,1627850,Bucks
388,Mason Plumlee,203486,Nuggets
389,Miles Plumlee,203101,Hawks
390,Jakob Poeltl,1627751,Raptors
391,Quincy Pondexter,202347,
392,Otto Porter Jr.,203490,Wizards
393,Bobby Portis,1626171,Bulls
394,Kristaps Porzingis,204001,Knicks
395,Dwight Powell,203939,Mavericks
396,Norman Powell,1626181,Raptors
397,Alex Poythress,1627816,Pacers
398,Taurean Prince,1627752,Hawks
399,Jacob Pullen,1626643,
400,Zhou Qi,1627753,Rockets
401,Ivan Rabb,1628397,Grizzlies
402,Julius Randle,203944,Lakers
403,Zach Randolph,2216,Kings
404,Xavier Rathan-Mayes,1628504,
405,JJ Redick,200755,76ers
406,Davon Reed,1628432,Suns
407,Willie Reed,203186,
408,Josh Richardson,1626196,Heat
409,Malachi Richardson,1627781,Raptors
410,Austin Rivers,203085,Clippers
411,Andre Roberson,203460,Thunder
412,Glenn Robinson III,203922,Pacers
413,Rajon Rondo,200765,Pelicans
414,Derrick Rose,201565,Timberwolves
415,Terrence Ross,203082,Magic
416,Terry Rozier,1626179,Celtics
417,Ricky Rubio,201937,Jazz
418,D'Angelo Russell,1626156,Nets
419,Domantas Sabonis,1627734,Pacers
420,JaKarr Sampson,203960,Kings
421,Dario Saric,203967,76ers
422,Tomas Satoransky,203107,Wizards
423,Dennis Schroder,203471,Hawks
424,Mike Scott,203118,Wizards
425,Thabo Sefolosha,200757,Jazz
426,Wayne Selden,1627782,Grizzlies
427,Ramon Sessions,201196,Wizards
428,Iman Shumpert,202697,Kings
429,Pascal Siakam,1627783,Raptors
430,Ben Simmons,1627732,76ers
431,Jonathon Simmons,203613,Magic
432,Kobi Simmons,1628424,Grizzlies
433,Kyle Singler,202713,Thunder
434,Marcus Smart,203935,Celtics
435,Ish Smith,202397,Pistons
436,JR Smith,2747,Cavaliers
437,Jason Smith,201160,Wizards
438,Josh Smith,2746,
439,Dennis Smith Jr.,1628372,Mavericks
440,Tony Snell,203503,Bucks
441,Marreese Speights,201578,Magic
442,Nik Stauskas,203917,Nets
443,Lance Stephenson,202362,Pacers
444,Julyan Stone,202933,Hornets
445,Caleb Swanigan,1628403,Trail Blazers
446,Jayson Tatum,1628369,Celtics
447,Isaiah Taylor,1627819,Hawks
448,Jeff Teague,201952,Timberwolves
449,Mirza Teletovic,203141,
450,Garrett Temple,202066,Kings
451,Milos Teodosic,1628462,Clippers
452,Jason Terry,1891,Bucks
453,Daniel Theis,1628464,Celtics
454,Isaiah Thomas,202738,Lakers
455,Lance Thomas,202498,Knicks
456,Klay Thompson,202691,Warriors
457,Tristan Thompson,202684,Cavaliers
458,Sindarius Thornwell,1628414,Clippers
459,Anthony Tolliver,201229,Pistons
460,Karl-Anthony Towns,1626157,Timberwolves
461,PJ Tucker,200782,Rockets
462,Evan Turner,202323,Trail Blazers
463,Myles Turner,1626167,Pacers
464,Ekpe Udoh,202327,Jazz
465,Tyler Ulis,1627755,Suns
466,Jonas Valanciunas,202685,Raptors
467,Denzel Valentine,1627756,Bulls
468,Fred VanVleet,1627832,Raptors
469,Rashad Vaughn,1626173,
470,Noah Vonleh,203943,Bulls
471,Nikola Vucevic,202696,Magic
472,Dwyane Wade,2548,Heat
473,Dion Waiters,203079,Heat
474,Kemba Walker,202689,Hornets
475,John Wall,202322,Wizards
476,Tyrone Wallace,1627820,Clippers
477,Derrick Walton Jr.,1628476,Heat
478,TJ Warren,203933,Suns
479,Travis Wear,204037,Lakers
480,James Webb III,1627821,Nets
481,Briante Weber,1627362,Grizzlies
482,David West,2561,Warriors
483,Russell Westbrook,201566,Thunder
484,Derrick White,1628401,Spurs
485,Okaro White,1627855,Cavaliers
486,Andrew White III,1628510,Hawks
487,Isaiah Whitehead,1627785,Nets
488,Hassan Whiteside,202355,Heat
489,Andrew Wiggins,203952,Timberwolves
490,Jacob Wiley,1628451,
491,Damien Wilkins,2863,
492,C.J. Williams,203710,Clippers
493,Lou Williams,101150,Clippers
494,Marvin Williams,101107,Hornets
495,Troy Williams,1627786,Knicks
496,Matt Williams Jr.,1628475,
497,D.J. Wilson,1628391,Bucks
498,Jamil Wilson,203966,
499,Justise Winslow,1626159,Heat
500,Jeff Withey,203481,
501,Nate Wolters,203489,
502,Brandan Wright,201148,
503,Delon Wright,1626153,Raptors
504,Guerschon Yabusele,1627824,Celtics
505,James Young,203923,
506,Joe Young,1626202,Pacers
507,Nick Young,201156,Warriors
508,Thaddeus Young,201152,Pacers
509,Cody Zeller,203469,Hornets
510,Tyler Zeller,203092,Bucks
511,Paul Zipser,1627835,Bulls
512,Ante Zizic,1627790,Cavaliers
513,Ivica Zubac,1627826,Lakers
