abbr
PHI
MIL
CHI
CLE
BOS
LAC
MEM
ATL
MIA
CHA
UTA
SAC
NYK
LAL
ORL
DAL
BKN
DEN
IND
NOP
DET
TOR
HOU
SAS
PHX
OKC
MIN
POR
GSW
WAS
